Requirement,Code Snippet,Question,Error,Answer,URL,Source,Language,Difficulty
,"public class Temperature
{
   private double temperature;
   public static double maxTemp = 0;

   public Temperature(double t)
   {
        temperature = t;
        if (t > maxTemp)
            maxTemp = t;
   }

   public static void main(String[] args)
   {
        Temperature t1 = new Temperature(75);
        Temperature t2 = new Temperature(100);
        Temperature t3 = new Temperature(65);
        System.out.println(""Max Temp: "" + Temperature.maxTemp);
   }
 }",What is the output of this code?,,,,,,
,"public void mystery(int[] a, int i)
{
   a[i] = a[i-1] * 2;
}","What will be the result of the execution of the ""mystery"" method if the input array ""a"" contains the values {1, 2, 3, 4, 5} and the input integer ""i"" is 3?",,,,,,
,"public int[] mystery(int[] a, int i, int value)
{
   a[i + 1] = a[i] + value;
   return a;
}",What is the purpose of this code?,,,,,,
,"private int[ ] values = {-20, -15, 2, 8, 16, 33};

public static int getIndexOfLastElementSmallerThanTarget(int[ ] values, int compare)
{
   for (int i = values.length - 1; i >=0; i--)
   {
      if (values[i] < compare)
         return i;
   }
   return -1; // to show none found
}
","What is the purpose of the ""getIndexOfLastElementSmallerThanTarget"" method in the given code?
What will the method return if all elements in the ""values"" array are greater than or equal to the ""compare"" parameter?
What will happen if the ""values"" array is empty when the ""getIndexOfLastElementSmallerThanTarget"" method is called?",,,,,,
,"int[ ] values = {-20, -15, 2, 8, 16, 33};

public static int getIndexOfLastElementSmallerThanTarget(int[] values, int compare)
{
   for (int i = values.length; i >=0; i--)
   {
      if (values[i] < compare)
         return i;
   }
   return -1; // to show none found
}","What is the output of this code if we call getIndexOfLastElementSmallerThanTarget(values, 10)?",,,,,,
,"private int[ ] a = {-20, -15, 2, 8, 16, 33};

public void doubleLast()
{

   for (int i = a.length / 2; i < a.length; i++)
   {
      a[i] = a[i] * 2;
   }
}","What is the output of this code after the `doubleLast()` method is called?
What happens if the length of the array is odd?
Can you modify this code to double the first half of the array instead of the second half?
How would you modify this code to only double the last element of the array?
What happens if the array is empty?",,,,,,
,"private int[ ] a = {-20, -15, 2, 8, 16, 33};

public void mystery()
{

   for (int i = 0; i < a.length/2; i+=2)
   {
      a[i] = a[i] * 2;
   }
}",What is the output of the code after the mystery method is called?,,,,,,
,"int[ ] numbers = {44, 33, 22, 11};
for (int num : numbers)
{
    num *= 2;
}
for (int num : numbers)
{
    System.out.print(num + "" "");
}",What is the output of the code snippet?,,,,,,
,"public static double mystery(int[] arr)
{
   double output = 0;
   for (int i = 0; i < arr.length; i++)
   {
      output = output + arr[i];
   }
   return output / arr.length;
}",What is the purpose of this Java code?,,,,,,
,"private int[ ] a = {-10, -5, 1, 4, 8, 30};

public void doubleLast()
{

   for (int i = a.length / 2; i < a.length; i++)
   {
      a[i] = a[i] * 2;
   }
}",What is the purpose of the doubleLast() method in this code?,,,,,,
,"private int[ ] a = {1, 3, -5, -2};

public void multAll(int amt)
{
   int i = 0;
   while (i < a.length)
   {
      a[i] = a[i] * amt;
      i++;
   } // end while
} // end method",What is the effect of calling the method 'multAll' with an argument of 2 on the array 'a'?,,,,,,
,"private int[ ] a = {1, 3, -5, -2};

public void mult(int amt)
{
   int i = 0;
   while (i < a.length)
   {
      a[i] = a[i] * amt;
   } // end while
} // end method",What is the output of the mult method when called with an argument of 2?,,,,,,
,"int[] a = {7, 3, -1};

public static int m1(int[] a)
{
   a[1]--;
   return (a[1] * 2);
}","What is the output of the code if we call the method m1 with the array {7, 3, -1} as the input?",,,,,,
,"for (int i = 1; i < k; i++)
{
   if (arr[i] < someValue)
   {
     System.out.print(""HELLO"")
   }
}","What is the output of this code if the value of k is 5 and the arr array contains the values [3, 6, 2, 4, 7], and someValue is 5?",,,,,,
,"public static void changeArray(int[] data)
{
   for (int k = data.length - 1; k > 0; k--)
      data[k - 1] = data[k] + data[k - 1];
}",What is the purpose of the `changeArray` method?,,,,,,
,"public static void copyArray(int[] arr1, int[] arr2)
{
   for (int i = arr1.length / 2; i < arr1.length; i++)
   {
      arr1[i] = arr2[i];
   }
}",What is the purpose of this method?,,,,,,
,"ArrayList<Integer> list1 = new ArrayList<Integer>();
list1.add(1);
list1.add(2);
list1.add(3);
list1.add(2, 4);
list1.add(5);
System.out.println(list1);
",What will be the output of the above code?,,,,,,
,"ArrayList<String> list1 = new ArrayList<String>();
list1.add(""Anaya"");
list1.add(""Layla"");
list1.add(""Sharrie"");
list1.add(1, ""Sarah"");
System.out.println(list1);
",What will be the output of this code?,,,,,,
,"List<Integer> list1 = new ArrayList<Integer>();
list1.add(1);
list1.add(2);
list1.add(3);
list1.remove(2);
System.out.println(list1);",What is the output of the code snippet?,,,,,,
,"List<Integer> list1 = new ArrayList<Integer>();
list1.add(1);
list1.add(2);
list1.add(3);
list1.set(2, 4);
list1.add(2, 5);
list1.add(6);
System.out.println(list1);
",What is the final output of the code snippet?,,,,,,
,"List<String> list1 = new ArrayList<String>();
list1.add(""Anaya"");
list1.add(""Layla"");
list1.add(""Sharrie"");
list1.set(1, ""Destini"");
list1.add(1, ""Sarah"");
System.out.println(list1);",What is the final output of this code?,,,,,,
,"List<Integer> numList = new ArrayList<Integer>();
numList.add(new Integer(1));
numList.add(new Integer(2));
numList.add(new Integer(3));
numList.set(2,new Integer(4));
numList.add(1, new Integer(5));
numList.add(new Integer(6));
System.out.println(numList);
",What is the output of the above code snippet?,,,,,,
,"List<Integer> list1 = new ArrayList<Integer>();
list1.add(new Integer(1));
list1.add(new Integer(2));
list1.add(new Integer(3));
list1.remove(1);
System.out.println(list1);
",What is the output of this code?,,,,,,
,"List<Integer> list1 = new ArrayList<Integer>();
list1.add(new Integer(1));
list1.add(new Integer(2));
list1.add(new Integer(3));
list1.remove(1);
System.out.println(list1);
",What is the output of the code snippet?,,,,,,
,"List<String> list1 = new ArrayList<String>();
list1.add(""Anaya"");
list1.add(""Layla"");
list1.add(""Sharrie"");
list1.set(0, ""Destini"");
list1.add(0, ""Sarah"");
System.out.println(list1);",What will be the output of the above code snippet?,,,,,,
,"List<Integer> list1 = new ArrayList<Integer>();
list1.add(new Integer(1));
list1.add(new Integer(2));
list1.add(new Integer(3));
list1.set(2, new Integer(4));
list1.add(2, new Integer(5));
list1.add(new Integer(6));
System.out.println(list1);",What is the final output of the code snippet?,,,,,,
,"private List<Integer> nums;

// precondition: nums.size() > 0;
// nums contains Integer objects
public void numQuest()
{
  int k = 0;
  Integer zero = new Integer(0);
  while (k < nums.size())
  {
   if (nums.get(k).equals(zero))
     nums.remove(k);
   else
      k++;
  }
}
","What is the purpose of the numQuest method in the given code?
What is the precondition for the numQuest method?
What does the variable 'k' represent in the numQuest method?
What does the 'equals' method in the if statement check for?
What happens if the 'equals' condition in the if statement is true?
What happens if the 'equals' condition in the if statement is false?
What is the output of the numQuest method for a list containing [0, 1, 0, 2, 0, 3]?",,,,,,
,"List<Integer> aList = new ArrayList<Integer>();
aList.add(new Integer(1));
aList.add(new Integer(2));
aList.add(1, new Integer(5));
aList.set(1, new Integer(4));
aList.add(new Integer(6));
aList.add(new Integer(3));
System.out.println(aList);
",What is the output of this code?,,,,,,
,"List<Integer> aList = new ArrayList<Integer>();
aList.add(new Integer(1));
aList.add(new Integer(2));
aList.remove(1);
aList.add(1, new Integer(3));
aList.set(1, new Integer(4));
aList.add(new Integer(5));
System.out.println(list);",What is the final content of the aList after the execution of this code?,,,,,,
,"List<String> list1 = new ArrayList<String>();
list1.add(""a"");
list1.add(""b"");
list1.add(0,""c"");
list1.add(1, ""d"");
list1.set(2, ""e"");
list1.add(""f"");
System.out.println(list1);",What is the final output of the code snippet?,,,,,,
,"List<String> list1 = new ArrayList<String>();
list1.add(""a"");
list1.add(""b"");
list1.add(0,""c"");
list1.set(1, ""d"");
list1.set(0, ""e"");
list1.add(""b"");
System.out.println(list1);
",What is the final output of the code?,,,,,,
,"private List<Integer> numList;
public void mystery(int n)
{
    for (int i = 0; i < n; i++)
    {
        Integer obj = numList.remove(0);
        numList.add(obj);
    }
}
","What is the purpose of the ""mystery"" method in this code?

What does the ""n"" parameter represent in the ""for"" loop?

What does the ""remove(0)"" method do on the ""numList"" object?

What does the ""add(obj)"" method do on the ""numList"" object?

What happens to the ""numList"" object after the ""mystery"" method is executed with a value of ""n"" equal to 3?",,,,,,
,"nums.add(6);
nums.add(0,4);
nums.remove(1);","What is the final state of the ""nums"" list after the execution of this code?",,,,,,
,"private List<Integer> nums;

//precondition: nums.size() > 0
//nums contains Integer objects
public void numQuest() {
   int k = 0;
   Integer zero = new Integer(0);
   while (k < nums.size()) {
      if (nums.get(k).equals(zero))
         nums.remove(k);
      k++;
   }
}
",What is the purpose of the numQuest() method?,,,,,,
,"public static int mystery(int[] elements, int target)
 {
   for (int j = 0; j < elements.length; j++)
   {
      if (elements[j] == target)
      {
         return j;
      }
  }
  return -1;
}","What is the purpose of the ""mystery"" method?",,,,,,
,"public static int mystery(int[] elements, int target)
 {
   for (int j = 0; j < elements.length; j++)
   {
      if (elements[j] == target)
      {
         return j;
      }
  }
  return -1;
}","What does the method ""mystery"" do?",,,,,,
,"public static int binarySearch(int[] elements, int target) {
   int left = 0;
   int right = elements.length - 1;
   while (left <= right)
   {
      int middle = (left + right) / 2;
      if (target < elements[middle])
      {
         right = middle - 1;
      }
      else if (target > elements[middle])
      {
         left = middle + 1;
      }
      else {
         return middle;
      }
    }
    return -1;
}",What does this code do?,,,,,,
,"public class Searcher
{
    private int[] arr = {1,3,5,8,9};

    public int mystery(int low, int high, int num)
    {
        int mid = (low + high) / 2;
        if (low > high) {
            return -1;   }
        else if (arr[mid] < num) {
            return mystery(mid + 1, high, num);   }
        else if (arr[mid] > num) {
            return mystery(low, mid - 1, num);   }
        else
            return mid;
    }

    public static void main(String[] args)
    {
        Searcher s = new Searcher();
        System.out.println(s.mystery(0,4,3));
    }
}",What is the output of the above code?,,,,,,
,"public static int test(int[] a, int v)
{
    for (int i = 0; i < a.length; i++)
    {
        if (a[i] == v)
            return i;
        else return -1;
    }
}",What will be the output of the code if the input array 'a' contains the value 'v' at index 2 and the length of the array is 5?,,,,,,
,"public class AlphaSort
{

    public static void main(String[] args)
    {
        int i, j;
        String key;
        String[] letters = {""E"",""D"",""C"",""B"",""A"",""B""};
        for (j = 1; j < letters.length; j++)
        {
            key = letters[j];
            i = j - 1;
            while (i >= 0)
            {
                if (key.compareTo(letters[i]) > 0)
                {
                    break;
                }
                letters[i + 1] = letters[i];
                i--;
            }
            letters[i + 1] = key;
        }
        for (int t = 0; t < letters.length; t++)
        {
            System.out.print((letters[t]) + """");
        }
    }
}",What is the output of this code?,,,,,,
,"public class NumberCount
{
    public static void main(String[] args)
    {
        int count = 0;
        int[] numbers = {-5,4,-5,3,-2,-4};
        for (int j = 0; j < numbers.length; j++)
        {
            if(numbers[j] < 0 && numbers[j] % 2 != 0)
            {
                count++;
            }
        }
    System.out.println(count);
    }
}
",What is the output of this code?,,,,,,
,"public class GuestList
{
    public static void main(String[] args)
    {
        int count = 0;
        String[] guestList = {""Anna"", ""Briana"", ""Alex"", ""John""};
        String subj1 = null;
        String subj2 = null;
        for (int j = 0; j < guestList.length; j++)
        {
            subj1 = guestList[j].substring(0,1);
            subj2 = guestList[j].substring(guestList[j].length()-1);
            if(subj1.equalsIgnoreCase(subj2))
            {
                count--;
            }
            else if(subj1.equalsIgnoreCase(""a""))
            {
                count++;
            }
        }
        System.out.println(count);
    }
}
",What is the purpose of the variable 'count' in the code?,,,,,,
,"public class OddEvenMod
{
    public static void main(String[] args)
    {
        int[] arr = {8,7,7,3,4,1};
        for (int i = 0; i < arr.length; i++)
        {
            if(arr[i] % 2 == 0)
            {
                int temp = arr[0];
                arr[0] = arr[i];
                arr[i] = temp;
            }
        }
        for (int t = 0; t < arr.length; t++)
        {
            System.out.print((arr[t]) + "","");
        }
    }
}
",What is the output of this code?,,,,,,
,"public class PrimeOrNot
{
    private static boolean check(int n)
    {
        for(int i = 2; i < n; i++)
        {
            if(n % i == 0)
                return false;
        }
        return true;
    }

    public static void main(String[] args)
    {
        int[] arr = {5,3,2,9,3,4};
        for (int i = 0; i < arr.length; i++)
        {
            if(check(arr[i]))
            {
                int temp = arr[0];
                arr[0] = arr[i];
                arr[i] = temp;
            }
        }
        for (int t = 0; t < arr.length; t++)
        {
            System.out.print((arr[t]) + "","");
        }
    }
}
",What is the output of this code?,,,,,,
,"public class GradeSort
{
   public static void main(String[] args)
   {
        String[] names = {""Anna"",""John"",""Billy"",""Bob"",""Roger"",""Dominic""};
        int[] grades = {93,100,67,84,86, 93};
        int i, j, first, temp;
        String temp2;
        for (i = grades.length - 1; i > 0; i--)
        {
            first = 0;
            for (j = 1; j <= i; j++)
            {
                if (grades[j] < grades[first])
                    first = j;
            }
            temp = grades[first];
            grades[first] = grades[i];
            grades[i] = temp;
            temp2 = names[first];
            names[first] = names[i];
            names[i] = temp2;
        }
        for (int t = 0; t < names.length; t++)
        {
            System.out.print((names[t]) + "" "");
        }
   }
}
",What is the purpose of the GradeSort program?,,,,,,
,"public class DivisibleBy2or3
{
    private static boolean divCheck(int n)
    {
        if(n % 2 == 0 || n % 3 == 0)
        {
          return true;
        }
        return false;
    }

    public static void main(String[] args)
    {
        int[] arr = {6,7,17,3,2,9,1,5};
        for (int i = 0; i < arr.length; i++)
        {
            if(divCheck(arr[i]))
            {
                int temp = arr[0];
                arr[0] = arr[i];
                arr[i] = temp;
            }
        }
        for (int t = 0; t < arr.length; t++)
        {
            System.out.print((arr[t]) + "" "");
        }
    }
}
","1. What is the purpose of the divCheck method in the provided code?
2. Can you explain the logic behind the if condition in the divCheck method?
3. What happens if the divCheck method returns false for all elements in the array?
4. What is the significance of the temp variable in the main method?
5. Can you explain the purpose of the first loop in the main method?
6. What happens if the array contains duplicate elements that are divisible by 2 or 3?
7. Can this code handle negative input values? If not, how would you modify it to handle negative input values?",,,,,,
,"int[][] ticketInfo = { {25,20,25}, {25,20,25} };
String[][] seatingInfo = { {""Jamal"", ""Maria""}, {""Jake"", ""Suzy""}, {""Emma"", ""Luke""} };
int value = ticketInfo[1][0];
String name = seatingInfo[0][1];",What is the value of the variable 'value' after executing this code snippet?,,,,,,
,"int[][] points = { {11, 12, 13, 14, 15},
                    {21, 22, 23, 24, 25},
                    {31, 32, 33, 34, 35},
                    {41, 42, 43, 44, 45}};
 for (int row = 0; row < points.length; row++)
 {
     for (int col = points[0].length - 1; col >= row; col--)
     {
          System.out.print(points[row][col] + "" "");
     }
     System.out.println();
}",What is the output of this code?,,,,,,
,"int[][] arr = { {1, 2, 3, 4},
                {5, 6, 7, 8},
                {9, 10, 11, 12} };
int sum = 0;
for (int[] x : arr)
{
    for (int y = 0; y < x.length - 1; y++)
    {
         sum += x[y];
    }
}
",What is the final value of sum after the execution of the code?,,,,,,
,"int[][] matrix = { {1,1,2,2},{1,2,2,4},{1,2,3,4},{1,4,1,2}};

int sum = 0;
int col = matrix[0].length - 2;
for (int row = 0; row < 4; row++)
{
   sum = sum + matrix[row][col];
}","What is the value of the variable sum after the execution of the code? 

What is the value of the variable col after the execution of the code? 

What is the value of the variable row after the execution of the code? 

What is the purpose of the line ""int col = matrix[0].length - 2;"" in the code? 

What is the size of the matrix used in the code? 

What is the expected output of the code? 

Can the code handle a matrix with a different number of rows or columns? 

Can the code handle a matrix with non-integer values?",,,,,,
,"int [][] mat = new int [4][3];
for (int row = 0; row < mat.length; row++) {
   for (int col = 0; col < mat[0].length; col++) {
      if (row < col)
         mat[row][col] = 1;
      else if (row == col)
         mat[row][col] = 2;
      else
         mat[row][col] = 3; } }
",What is the output of the code?,,,,,,
,"int[][] m = { {1,1,1,1},{1,2,3,4},{2,2,2,2},{2,4,6,8}};

int sum = 0;
for (int k = 0; k < m.length; k++) {
    sum = sum + m[m.length-1-k][1];
}
",What is the value of 'sum' after the execution of the for loop?,,,,,,
,"int[][] arr = { {3,2,1},{1,2,3}};
int value = 0;
for (int row = 1; row < arr.length; row++) {
   for (int col = 1; col < arr[0].length; col++) {
      if (arr[row][col] % 2 == 1)
      {
          arr[row][col] = arr[row][col] + 1;
      }
      if (arr[row][col] % 2 == 0)
      {
          arr[row][col] = arr[row][col] * 2;
      }
   }
}","What will be the final value of the element at row 1, column 2 in the array after the code execution?",,,,,,
,"public class Base
{
   public void methodOne()
   {
     System.out.print(""A"");
     methodTwo();
   }

   public void methodTwo()
   {
     System.out.print(""B"");
   }
}

public class Derived extends Base
{
   public void methodOne()
   {
      super.methodOne();
      System.out.print(""C"");
   }

   public void methodTwo()
   {
     super.methodTwo();
     System.out.print(""D"");
   }
}
","What is the output of the following code when executed?

Answer: The output will be ""ABD""",,,,,,
,"public class Shape {
   public void what() { System.out.print(""Shape "");}

   public static void main(String[] args) {

      Shape[] shapes = {new Shape(), new Rectangle(), new Square(),
                        new Circle()};
      for (Shape s : shapes)
      {
         s.what();
         System.out.print("" "");
      }
   }

}

class Rectangle extends Shape {
   public void what() { System.out.print(""Rectangle ""); }
}

class Square extends Rectangle {
}

class Oval extends Shape {
   public void what() { System.out.print(""Oval ""); }
}

class Circle extends Oval {
   public void what() { System.out.print(""Circle "");}
}
",What will be the output of the code?,,,,,,
,"public class Student {

   public String getFood() {
      return ""Pizza"";
   }

   public String getInfo()  {
     return this.getFood();
   }

   public static void main(String[] args)
   {
     Student s1 = new GradStudent();
     s1.getInfo();
   }
}

class GradStudent extends Student {

  public String getFood() {
     return ""Taco"";
  }

}
",What is the output of this code when executed?,,,,,,
,"public class Car
{
  private int fuel;

  public Car() { fuel = 0; }
  public Car(int g) { fuel = g; }

  public void addFuel() { fuel++; }
  public void display() { System.out.print(fuel + "" ""); }

  public static void main(String[] args)
  {
     Car car = new Car(5);
     Car fastCar = new RaceCar(5);
     car.display();
     car.addFuel();
     car.display();
     fastCar.display();
     fastCar.addFuel();
     fastCar.display();
  }

}

class RaceCar extends Car
{
  public RaceCar(int g) { super(2*g); }
}
",What is the output of this code?,,,,,,
,"public class Student {
   public String getFood() {
      return ""Pizza"";
   }
   public String getInfo()  {
      return this.getFood();
   }
}

public class GradStudent extends Student {
   public String getFood() {
      return ""Taco"";
   }
}",What is the output of the following code when a GradStudent object is created and its getInfo() method is called?,,,,,,
,"Animal[] a = { new Cat(), new Cow(), new Dog(), new Pig(), new Bird() }
",What is the data type of the array 'a' in the given code snippet?,,,,,,
,"public class Car
{
   private int fuel;

   public Car() { fuel = 0; }
   public Car(int g) { fuel = g; }

   public void addFuel() { fuel++; }
   public void display() { System.out.print(fuel + "" ""); }
}

public class RaceCar extends Car
{
   public RaceCar(int g) { super(2*g); }
}

What is the result when the following code is compiled and run?

Car car = new Car(5);
Car fastCar = new RaceCar(5);
car.display()
car.addFuel();
car.display();
fastCar.display();
fastCar.addFuel();
fastCar.display();
",What is the initial fuel value of the car object created using the Car constructor? What is the initial fuel value of the fastCar object created using the RaceCar constructor?,,,,,,
,"public class Book
{
   public String getISBN()
   {
      // implementation not shown
   }

   // constructors, fields, and other methods not shown
}

public class Dictionary extends Book
{
   public String getDefinition(String word)
   {
      // implementation not shown
   }

   // constructors, fields, and methods not shown
}

Assume that the following declaration appears in a client class.

Book b = new Dictionary();",What is the type of the reference variable 'b'?,,,,,,
,"class Animal
{
    void someSound()
    {
        System.out.print(""Screeech "");
    }
}

class Cat extends Animal
{
    public Cat()
    {
        System.out.print(""Meow "");
        super.someSound();
    }
}

class Garfield extends Cat
{
    public Garfield()
    {
        System.out.print(""Lasagna "");
    }
}
public class MainClass
{
    public static void main(String[] args)
    {
        Garfield garfield = new Garfield();
    }
}
",What will the output of this code be?,,,,,,
,"public class Base
{
   public void methodOne()
   {
      System.out.print(""A"");
      methodTwo();
   }

   public void methodTwo()
   {
      System.out.print(""B"");
   }
}

public class Derived extends Base
{
   public void methodOne()
   {
      super.methodOne();
      System.out.print(""C"");
   }

   public void methodTwo()
   {
      super.methodTwo();
      System.out.print(""D"");
   }
}",What would be the output of the following code when an object of Derived class is created and the methodOne() is called on it?,,,,,,
,"public static int product(int n)
{
   if(n == 1)
      return 1;
   else
      return n * product(n - 2);
}",What is the output of this code if the input is 5?,,,,,,
,"public static int bunnyEars(int bunnies)
{
   if (bunnies == 0) return 0;
   else if (bunnies == 1) return 2;
   else return 2 + bunnyEars(bunnies - 1);
}",What is the output of this code if the input value of bunnies is 3?,,,,,,
,"public static int factorial(int n)
{
   if (n == 0)
      return 1;
   else
      return n * factorial(n-1);
}
",What is the output of the code if the user inputs 5 as the parameter for the factorial method?,,,,,,
,"public static int mystery(int n)
{
   if (n == 0)
      return 1;
   else
      return 2 * mystery (n - 1);
}",What is the output of this code if the method is called with an argument of 3?,,,,,,
,"public static int mystery(int n, int a)
{
  if (n == 1) return a;
  return a * mystery(n-1,a);
}
","What does the ""mystery"" function do, and what are its parameters?",,,,,,
,"public static void mystery (int x) {
   System.out.print(x % 10);

   if ((x / 10) != 0) {
      mystery(x / 10);
   }
   System.out.print(x % 10);
}",What does the method 'mystery' do when called with an argument of 1234?,,,,,,
,"public static int mystery(String str)
{
   if (str.length() == 1) return 0;
   else
   {
      if (str.substring(0,1).equals(""y"")) return 1 +
                           mystery(str.substring(1));
      else return mystery(str.substring(1));
   }
}
","What is the output of the code if the input string is ""yyzzy""?",,,,,,
,"public static int mystery(int n)
{
   if (n == 0)
      return 1;
   else
      return 3 * mystery (n - 1);
}
",What is the output of the 'mystery' function when called with an argument of 4?,,,,,,
,"public static int product(int n)
{
   if (n <= 1)
      return 1;
   else
      return n * product(n - 2);
}
",What is the output of this code if the value of n is 5?,,,,,,
,"public static int f(int n)
{
   if (n == 0)
      return 0;
   else if (n == 1)
      return 1;
   else return f(n-1) + f(n-2);
}",What is the output of the code if the input value of n is 5?,,,,,,
,"public static boolean check(String s)
{
   return s.length() >= 2 &&
          (s.charAt(0) == s.charAt(1) ||
           check(s.substring(1)));
}
","What will be the output of the code if we pass the string ""hello"" to the check() method?",,,,,,
,"public static int redo(int i, int j)
{
   if (i==0)
      return 0;
   else
      return redo(i/j, j)+1;
}
",What is the output of the code if the inputs are 15 and 3?,,,,,,
